
//需要将UA设置为k

鹏博士🇨🇳央视频道👉8M,#genre#
CCTV15音乐,http://8.138.7.223/tv/zb/bjcucc.php?id=16$北京联通组播
CCTV16奥林匹克,http://8.138.7.223/tv/zb/bjcucc.php?id=17$北京联通组播
CCTV17农业农村,http://8.138.7.223/tv/zb/bjcucc.php?id=18$北京联通组播


易以辉🐼北京联通,#genre#
CCTV-1,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=1
CCTV-2,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=2
CCTV-3,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=3
CCTV-4,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=4
CCTV-5,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=5
CCTV-5+,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=6
CCTV-6,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=7
CCTV-7,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=8
CCTV-8,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=9
CCTV-9,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=10
CCTV-10,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=11
CCTV-11,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=12
CCTV-12,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=13
CCTV-13,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=14
CCTV-14,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=15
CCTV-15,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=16
CCTV-16,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=17
CCTV-17,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=18
CCTV4欧洲,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=19
CCTV4美洲,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=20
CGTN,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=21
CGTN纪录频道,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=22
CGTN西班牙语,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=23
CGTN法语,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=24
CGTN阿拉伯语,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=25
CGTN俄语,http://tv.tvbox6.icu/tv/zb/bjcucc.php?id=26
